occurrenceID,institutionCode,year,month,day,stateProvince,county,locality,decimalLatitude,decimalLongitude
1cc0e9e8-ad1e-4a3b-b435-c4a1a396d9e0,NY,1976,6,5,New York,Bronx Co.,"The New York Botanical Garden. In hemlock forest, behind Rock Garden",40.8568,-73.8754
19f98095-4de5-42f7-8b2a-178b8cc9ebb3,NY,1993,7,20,New York,Bronx Co.,"The New York Botanical Garden, tram stop area near Harding Laboratory",40.8568,-73.8754
3a1f4c41-0d8e-4bf4-809b-eff9bbd68a8f,NY,1993,5,13,New York,Bronx Co.,The New York Botanical Garden. Rock garden near waterfall,40.8568,-73.8754
67134cd0-d6b2-45e4-9f2f-6761ed85892f,NY,1985,7,31,New York,Bronx Co.,On grounds of New York Botanical Garden,40.8568,-73.8754
73d60080-86fe-4d08-bede-f01bc9b5f886,NY,1978,5,21,New York,Bronx Co.,"N of The New York Botanical Garden, along Bronx River",40.8568,-73.8754
b124b5bf-d0ee-4b2f-aa22-776b02d546ee,NY,1977,4,16,New York,Bronx Co.,The New York Botanical Garden. Near Magnolia Collection,40.8568,-73.8754
88fd3196-3a37-4352-80b0-619a3ad19da6,NY,1978,5,21,New York,Bronx Co.,"The New York Botanical Garden, on ""flood plain"" of Bronx River, in north portion of the Garden",40.8568,-73.8754
eadd0dec-e23d-487e-9405-cfc347a15980,NY,1912,9,25,New York,Bronx Co.,The New York Botanical Garden. East of Museum Building,40.8568,-73.8754
4bdfdc77-5edb-40e7-b7d4-ba8d9c38a943,NY,1939,6,16,New York,Bronx Co.,Bronx Park. The New York Botanical Garden. In native woods,40.8568,-73.8754
5f1b6843-aa3c-497b-94ac-e08ec421cae7,NY,1973,11,13,New York,Bronx Co.,at The New York Botanical Garden,40.8568,-73.8754
a03d0e69-df82-4b3e-89cb-cbc985457bd9,NY,1989,10,24,New York,Bronx Co.,"in the New York Botanical Garden, near the Rock Garden",40.8568,-73.8754
35e94cee-cabd-4490-9b5f-daedaf90acec,NY,1929,6,13,New York,Bronx Co.,"New York Botanical Garden, Bronx Park, New York City",40.8568,-73.8754
b3808218-13da-4488-beb2-559742b82fb6,NY,1993,5,6,New York,Bronx Co.,New York Botanical Garden. Intersection of Azalea Way and path to Bronx River Gate and Bronx Zoo,40.8568,-73.8754
97e090ad-b946-475d-959d-916ecd18b0a3,NY,1940,5,22,New York,Bronx Co.,"New York Botanical Garden, Bronx Park.",40.8568,-73.8754
065189ca-9813-46cb-84c8-4b815a3e3d56,NY,1923,10,10,New York,Bronx Co.,The New York Botanical Garden. Twin L[akes] west of Lilac Garden,40.8568,-73.8754
