occurrenceID,institutionCode,basisOfRecord,catalogNumber,recordedBy,recordNumber,year,month,day,continent,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,Origin,identifiedBy,yearIdentified,dcterms:references,associatedMedia,Notes,Herbivory Avg,Leaf 1,Leaf 2,Leaf 3,Leaf 4,Leaf 5,Leaf 6,Leaf 7,Leaf 8,Leaf 9,Leaf 10
6091e49f-9214-417a-b1f9-63dc71fefb8e,NY,PreservedSpecimen,2556867,E. P. Bicknell,5743,1890,7,5,North America,United States of America,New York,New York Co.,"E of B'way at Inwood, Manhattan Island",40.7903,-73.9597,GEOLocate Web Application,5421,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2799307,,,3.555555556,0,6,1,0,5,11,7,1,1,
ee888908-801a-4cd7-93e5-e141e345c3b5,NY,PreservedSpecimen,2556873,G. T. Hastings,s.n.,1936,8,22,North America,United States of America,New York,New York Co.,Morningside Park,40.8065,-73.9582,GEOLocate Web Application,667,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2799313,http://sweetgum.nybg.org/images3/1978/034/02556873.jpg,,7.5,2,0,8,18,14,3,,,,
55916f16-94ae-4168-ab39-435e6ca54c3a,NY,PreservedSpecimen,2556852,M. H. Nee,56410,2009,6,22,North America,United States of America,New York,Bronx Co.,"at parking lot, Metro North railroad station on Kazimiroff Drive, opposite entrance to the New York Botanical Garden",40.8672,-73.8806,,,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2799292,http://sweetgum.nybg.org/images3/1978/013/02556852.jpg,,6,2,6,14,17,3,0,3,10,3,2
dea0e539-7f1a-4d5b-8c40-0fdbedeb9b31,NY,PreservedSpecimen,2556855,M. H. Nee,56497,2009,9,20,North America,United States of America,New York,Bronx Co.,"corner of Mosholu Parkway and Kazimiroff Drive, between New York Botanical Garden and Metro North railroad tracks",40.8678,-73.8797,,,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2799295,http://sweetgum.nybg.org/images3/1978/016/02556855.jpg,,2.4,0,4,0,2,7,3,6,2,0,0
108bd0ac-65c0-4aca-9be4-217a89f4d8ea,NY,PreservedSpecimen,2556849,G. V. Nash,2680,,,,North America,United States of America,New York,Bronx Co.,"Arboretum, New York Botanical Garden",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2799289,,,19.1,1,13,2,6,0,21,48,61,7,32
89113934-4692-4324-9dd3-7a769c3eef17,NY,PreservedSpecimen,2377788,R. I. Vargas,37,1998,6,2,North America,United States of America,New York,Bronx Co.,On eastside of Moshulu Park on Moshulu Parkway,40.8706,-73.8811,,,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,L. Raz; R. Vargas,1998,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599011,http://sweetgum.nybg.org/images3/4249/632/02377788.jpg,GALLS,1.25,0,0,0,5,0,1,2,2,,
46b3cf8b-19d1-454b-91a1-beb078a95d60,NY,PreservedSpecimen,2332781,D. E. Atha,14183,2013,10,15,North America,United States of America,New York,New York Co.,"Central Park, Ramble, between 78th St and 79th St between 6th and 7th Avenues",40.7784,-73.9684,GPS,50,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,D. E. Atha,2013,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2400888,,,4.833333333,2,7,3,12,5,1,1,,,
9118212b-31a3-4914-8be0-c9fbaaafa140,NY,PreservedSpecimen,2556853,M. H. Nee,56409,2009,6,22,North America,United States of America,New York,Bronx Co.,"along Mosholu Parkway South and park, near Marion Ave.",40.8703,-73.8817,,,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2799293,http://sweetgum.nybg.org/images3/1978/014/02556853.jpg,GALLS,0.111111111,1,0,0,1,0,0,0,0,0,0
c2be5c45-2985-4685-8d2a-f6100326907d,NY,PreservedSpecimen,1116530,D. E. Atha,7654,2009,6,30,North America,United States of America,New York,Bronx Co.,"Grounds of The New York Botanical Garden, W of the Bronx River and S of Waring Ave",40.8599,-73.8768,,,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,D. E. Atha,2009,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1254935,http://sweetgum.nybg.org/images3/4249/454/01116530.jpg,,1.4,0,0,2,5,0,,,,,
65af35af-f76f-4bae-9d13-eeff9c065241,NY,PreservedSpecimen,2377790,S. L. Clarke,s.n.,1891,6,,North America,United States of America,New York,Bronx Co.,Van Cortlandt Park,40.8979,-73.8835,GEOLocate Web Application,1924,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana,Native,F. B. Buser,1954,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2627574,http://sweetgum.nybg.org/images3/4249/634/02377790.jpg,,1.142857143,0,0,1,4,3,0,0,,,
