occurrenceID,institutionCode,basisOfRecord,catalogNumber,recordedBy,recordNumber,year,month,day,continent,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,identifiedBy,yearIdentified,dcterms:references,associatedMedia,Origin,Gall Presence (Y/N),Checked By,Notes,Total Galls,Gall Species 1,Number 1,Gall Species 2,Number 2,Gall Species 3,Number 3
d4c6025e-a456-4939-b984-c7b937610a46,NY,PreservedSpecimen,2488345,K. R. Boynton,s.n.,,,,North America,United States of America,New York,Bronx Co.,Wild. N.Y.B.G.,40.8623,-73.877,GEOLocate Web Application,751,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707721,http://sweetgum.nybg.org/images3/1763/155/02488345.jpg,Native,N,LE,,0,,,,,,
3e2ee994-615b-491c-ae84-b32354675038,NY,PreservedSpecimen,2488361,Collector unknown,s.n.,,,,North America,United States of America,New York,Bronx Co.,[Swamp Jerome Ave],,,,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707751,http://sweetgum.nybg.org/images3/1763/171/02488361.jpg,Native,N,LE,,0,,,,,,
301bde7c-c0f0-4941-9c3f-2fffbaf86143,NY,PreservedSpecimen,2488311,T. J. Delendick,64,1974,9,23,North America,United States of America,New York,Bronx Co.,Lehman College,40.85,-73.8662,GEOLocate Web Application,3036,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707580,http://sweetgum.nybg.org/images3/1765/054/02488311.jpg,Native,N,LE,,0,,,,,,
73d60080-86fe-4d08-bede-f01bc9b5f886,NY,PreservedSpecimen,2487892,T. J. Delendick,"78,212",1978,5,21,North America,United States of America,New York,Bronx Co.,"N of The New York Botanical Garden, along Bronx River",40.8568,-73.8754,GEOLocate Web Application,2289,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706990,http://sweetgum.nybg.org/images3/1813/830/02487892.jpg,Native,N,LE,,0,,,,,,
ff6c8fb5-57be-476a-b3b6-bd7607316ab4,NY,PreservedSpecimen,2487934,T. J. Delendick,2135,1973,10,27,North America,United States of America,New York,Bronx Co.,Lehman College campus,,,,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707050,http://sweetgum.nybg.org/images3/1813/872/02487934.jpg,Native,N,LE,,0,,,,,,
490999a9-266f-4c7e-8f12-e1c37be34f6b,NY,PreservedSpecimen,2487985,J. Hartling,46136,,,,North America,United States of America,New York,Bronx Co.,New York Botanical Garden Arboretum,,,,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707129,http://sweetgum.nybg.org/images3/1813/923/02487985.jpg,Native,N,LE,,0,,,,,,
526c52ac-2b5f-4bd4-b052-110accc760c8,NY,PreservedSpecimen,2488008,Collector unspecified,s.n.,1912,9,25,North America,United States of America,New York,Bronx Co.,"Tree E of Museum Building, NYBG",,,Georeferencing Quick Reference Guide (Zermoglio et,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707153,http://sweetgum.nybg.org/images3/1813/946/02488008.jpg,Native,N,LE,,0,,,,,,
01b7ffb8-e8c4-4ca6-895e-bbed38bdc698,NY,PreservedSpecimen,2488052,E. P. Bicknell,s.n.,1891,5,24,North America,United States of America,New York,Bronx Co.,Lower Jerome Ave,40.85,-73.8662,GEOLocate Web Application,3036,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707215,http://sweetgum.nybg.org/images3/1813/990/02488052.jpg,Native,N,LE,,0,,,,,,
9caaec93-fca2-45e4-8667-2c842ae50fbe,NY,PreservedSpecimen,2488055,N. L. Britton,s.n.,1914,9,11,North America,United States of America,New York,Richmond Co.,Staten Island.,40.5639,-74.1462,GEOLocate Web Application,12434,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707220,http://sweetgum.nybg.org/images3/1813/993/02488055.jpg,Native,N,LE,,0,,,,,,
7f209202-bae8-48ae-a1fe-3c6a8c065ae7,NY,PreservedSpecimen,2488077,N. L. Britton,s.n.,1914,8,16,North America,United States of America,New York,Richmond Co.,Staten Island.,40.5639,-74.1462,GEOLocate Web Application,12434,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707244,http://sweetgum.nybg.org/images3/1814/015/02488077.jpg,Native,N,LE,,0,,,,,,
